"","group","subject","item","region","measure","sort","condition","skips","rawdata","nozero","ambiguity","continuation"
"1921","Native","Native Native 1",38,"spillover1","fp","spillover1 fp",6,0,790,790,"Unambiguous","Consistent"
"1923","Native","Native Native 1",39,"spillover1","fp","spillover1 fp",7,0,232,232,"Ambiguous","Inconsistent"
"1925","Native","Native Native 1",26,"spillover1","fp","spillover1 fp",6,0,558,558,"Unambiguous","Consistent"
"1927","Native","Native Native 1",34,"spillover1","fp","spillover1 fp",6,0,172,172,"Unambiguous","Consistent"
"1929","Native","Native Native 1",46,"spillover1","fp","spillover1 fp",6,0,176,176,"Unambiguous","Consistent"
"1931","Native","Native Native 1",29,"spillover1","fp","spillover1 fp",5,0,171,171,"Ambiguous","Consistent"
"1933","Native","Native Native 1",36,"spillover1","fp","spillover1 fp",8,0,467,467,"Unambiguous","Inconsistent"
"1935","Native","Native Native 1",30,"spillover1","fp","spillover1 fp",6,0,200,200,"Unambiguous","Consistent"
"1937","Native","Native Native 1",40,"spillover1","fp","spillover1 fp",8,0,173,173,"Unambiguous","Inconsistent"
"1939","Native","Native Native 1",33,"spillover1","fp","spillover1 fp",5,0,222,222,"Ambiguous","Consistent"
"1941","Native","Native Native 1",43,"spillover1","fp","spillover1 fp",7,0,1260,1260,"Ambiguous","Inconsistent"
"1943","Native","Native Native 1",28,"spillover1","fp","spillover1 fp",8,0,821,821,"Unambiguous","Inconsistent"
"1945","Native","Native Native 1",31,"spillover1","fp","spillover1 fp",7,0,161,161,"Ambiguous","Inconsistent"
"1947","Native","Native Native 1",45,"spillover1","fp","spillover1 fp",5,0,831,831,"Ambiguous","Consistent"
"1949","Native","Native Native 1",25,"spillover1","fp","spillover1 fp",5,0,172,172,"Ambiguous","Consistent"
"1951","Native","Native Native 1",41,"spillover1","fp","spillover1 fp",5,0,336,336,"Ambiguous","Consistent"
"1953","Native","Native Native 1",42,"spillover1","fp","spillover1 fp",6,0,297,297,"Unambiguous","Consistent"
"1955","Native","Native Native 1",37,"spillover1","fp","spillover1 fp",5,0,963,963,"Ambiguous","Consistent"
"1957","Native","Native Native 1",32,"spillover1","fp","spillover1 fp",8,0,415,415,"Unambiguous","Inconsistent"
"1959","Native","Native Native 1",48,"spillover1","fp","spillover1 fp",8,0,214,214,"Unambiguous","Inconsistent"
"1961","Native","Native Native 1",47,"spillover1","fp","spillover1 fp",7,0,201,201,"Ambiguous","Inconsistent"
"1963","Native","Native Native 1",44,"spillover1","fp","spillover1 fp",8,0,237,237,"Unambiguous","Inconsistent"
"1965","Native","Native Native 1",27,"spillover1","fp","spillover1 fp",7,0,203,203,"Ambiguous","Inconsistent"
"1967","Native","Native Native 1",35,"spillover1","fp","spillover1 fp",7,0,337,337,"Ambiguous","Inconsistent"
"1969","Native","Native Native 2",46,"spillover1","fp","spillover1 fp",7,0,214,214,"Ambiguous","Inconsistent"
"1971","Native","Native Native 2",25,"spillover1","fp","spillover1 fp",6,0,107,107,"Unambiguous","Consistent"
"1973","Native","Native Native 2",39,"spillover1","fp","spillover1 fp",8,0,178,178,"Unambiguous","Inconsistent"
"1975","Native","Native Native 2",38,"spillover1","fp","spillover1 fp",7,0,1038,1038,"Ambiguous","Inconsistent"
"1977","Native","Native Native 2",30,"spillover1","fp","spillover1 fp",7,0,437,437,"Ambiguous","Inconsistent"
"1979","Native","Native Native 2",27,"spillover1","fp","spillover1 fp",8,0,250,250,"Unambiguous","Inconsistent"
"1981","Native","Native Native 2",29,"spillover1","fp","spillover1 fp",6,0,152,152,"Unambiguous","Consistent"
"1983","Native","Native Native 2",33,"spillover1","fp","spillover1 fp",6,0,295,295,"Unambiguous","Consistent"
"1985","Native","Native Native 2",32,"spillover1","fp","spillover1 fp",5,0,823,823,"Ambiguous","Consistent"
"1987","Native","Native Native 2",43,"spillover1","fp","spillover1 fp",8,0,545,545,"Unambiguous","Inconsistent"
"1989","Native","Native Native 2",45,"spillover1","fp","spillover1 fp",6,0,162,162,"Unambiguous","Consistent"
"1991","Native","Native Native 2",48,"spillover1","fp","spillover1 fp",5,0,225,225,"Ambiguous","Consistent"
"1993","Native","Native Native 2",47,"spillover1","fp","spillover1 fp",8,0,308,308,"Unambiguous","Inconsistent"
"1995","Native","Native Native 2",31,"spillover1","fp","spillover1 fp",8,0,179,179,"Unambiguous","Inconsistent"
"1997","Native","Native Native 2",26,"spillover1","fp","spillover1 fp",7,0,160,160,"Ambiguous","Inconsistent"
