"","group","subject","item","region","measure","sort","condition","skips","rawdata","nozero","ambiguity","continuation"
"19201","Native","Native Native 1",38,"spillover2","rp","spillover2 rp",6,0,244,244,"Unambiguous","Consistent"
"19203","Native","Native Native 1",39,"spillover2","rp","spillover2 rp",7,0,1011,1011,"Ambiguous","Inconsistent"
"19205","Native","Native Native 1",26,"spillover2","rp","spillover2 rp",6,0,818,818,"Unambiguous","Consistent"
"19207","Native","Native Native 1",34,"spillover2","rp","spillover2 rp",6,0,190,190,"Unambiguous","Consistent"
"19209","Native","Native Native 1",46,"spillover2","rp","spillover2 rp",6,0,773,773,"Unambiguous","Consistent"
"19211","Native","Native Native 1",29,"spillover2","rp","spillover2 rp",5,0,614,614,"Ambiguous","Consistent"
"19213","Native","Native Native 1",36,"spillover2","rp","spillover2 rp",8,1,0,NA,"Unambiguous","Inconsistent"
"19215","Native","Native Native 1",30,"spillover2","rp","spillover2 rp",6,0,540,540,"Unambiguous","Consistent"
"19217","Native","Native Native 1",40,"spillover2","rp","spillover2 rp",8,1,0,NA,"Unambiguous","Inconsistent"
"19219","Native","Native Native 1",33,"spillover2","rp","spillover2 rp",5,0,214,214,"Ambiguous","Consistent"
"19221","Native","Native Native 1",43,"spillover2","rp","spillover2 rp",7,1,0,NA,"Ambiguous","Inconsistent"
"19223","Native","Native Native 1",28,"spillover2","rp","spillover2 rp",8,0,230,230,"Unambiguous","Inconsistent"
"19225","Native","Native Native 1",31,"spillover2","rp","spillover2 rp",7,0,289,289,"Ambiguous","Inconsistent"
"19227","Native","Native Native 1",45,"spillover2","rp","spillover2 rp",5,1,0,NA,"Ambiguous","Consistent"
"19229","Native","Native Native 1",25,"spillover2","rp","spillover2 rp",5,1,0,NA,"Ambiguous","Consistent"
"19231","Native","Native Native 1",41,"spillover2","rp","spillover2 rp",5,0,1675,1675,"Ambiguous","Consistent"
"19233","Native","Native Native 1",42,"spillover2","rp","spillover2 rp",6,0,362,362,"Unambiguous","Consistent"
"19235","Native","Native Native 1",37,"spillover2","rp","spillover2 rp",5,0,460,460,"Ambiguous","Consistent"
"19237","Native","Native Native 1",32,"spillover2","rp","spillover2 rp",8,0,1526,1526,"Unambiguous","Inconsistent"
"19239","Native","Native Native 1",48,"spillover2","rp","spillover2 rp",8,0,460,460,"Unambiguous","Inconsistent"
"19241","Native","Native Native 1",47,"spillover2","rp","spillover2 rp",7,0,361,361,"Ambiguous","Inconsistent"
"19243","Native","Native Native 1",44,"spillover2","rp","spillover2 rp",8,0,182,182,"Unambiguous","Inconsistent"
"19245","Native","Native Native 1",27,"spillover2","rp","spillover2 rp",7,0,877,877,"Ambiguous","Inconsistent"
"19247","Native","Native Native 1",35,"spillover2","rp","spillover2 rp",7,0,204,204,"Ambiguous","Inconsistent"
"19249","Native","Native Native 2",46,"spillover2","rp","spillover2 rp",7,0,16001,16001,"Ambiguous","Inconsistent"
"19251","Native","Native Native 2",25,"spillover2","rp","spillover2 rp",6,0,947,947,"Unambiguous","Consistent"
"19253","Native","Native Native 2",39,"spillover2","rp","spillover2 rp",8,0,603,603,"Unambiguous","Inconsistent"
