"","group","subject","item","region","measure","sort","condition","skips","rawdata","nozero","ambiguity","continuation"
"9601","Native","Native Native 1",38,"wrap_up","fp","wrap_up fp",6,0,137,137,"Unambiguous","Consistent"
"9603","Native","Native Native 1",39,"wrap_up","fp","wrap_up fp",7,0,343,343,"Ambiguous","Inconsistent"
"9605","Native","Native Native 1",26,"wrap_up","fp","wrap_up fp",6,0,503,503,"Unambiguous","Consistent"
"9607","Native","Native Native 1",34,"wrap_up","fp","wrap_up fp",6,0,377,377,"Unambiguous","Consistent"
"9609","Native","Native Native 1",46,"wrap_up","fp","wrap_up fp",6,0,284,284,"Unambiguous","Consistent"
"9611","Native","Native Native 1",29,"wrap_up","fp","wrap_up fp",5,0,424,424,"Ambiguous","Consistent"
"9613","Native","Native Native 1",36,"wrap_up","fp","wrap_up fp",8,0,339,339,"Unambiguous","Inconsistent"
"9615","Native","Native Native 1",30,"wrap_up","fp","wrap_up fp",6,0,542,542,"Unambiguous","Consistent"
"9617","Native","Native Native 1",40,"wrap_up","fp","wrap_up fp",8,0,186,186,"Unambiguous","Inconsistent"
"9619","Native","Native Native 1",33,"wrap_up","fp","wrap_up fp",5,0,196,196,"Ambiguous","Consistent"
"9621","Native","Native Native 1",43,"wrap_up","fp","wrap_up fp",7,0,287,287,"Ambiguous","Inconsistent"
"9623","Native","Native Native 1",28,"wrap_up","fp","wrap_up fp",8,0,185,185,"Unambiguous","Inconsistent"
"9625","Native","Native Native 1",31,"wrap_up","fp","wrap_up fp",7,0,311,311,"Ambiguous","Inconsistent"
"9627","Native","Native Native 1",45,"wrap_up","fp","wrap_up fp",5,0,253,253,"Ambiguous","Consistent"
"9629","Native","Native Native 1",25,"wrap_up","fp","wrap_up fp",5,0,191,191,"Ambiguous","Consistent"
"9631","Native","Native Native 1",41,"wrap_up","fp","wrap_up fp",5,0,1171,1171,"Ambiguous","Consistent"
"9633","Native","Native Native 1",42,"wrap_up","fp","wrap_up fp",6,0,219,219,"Unambiguous","Consistent"
"9635","Native","Native Native 1",37,"wrap_up","fp","wrap_up fp",5,0,949,949,"Ambiguous","Consistent"
"9637","Native","Native Native 1",32,"wrap_up","fp","wrap_up fp",8,0,323,323,"Unambiguous","Inconsistent"
"9639","Native","Native Native 1",48,"wrap_up","fp","wrap_up fp",8,0,406,406,"Unambiguous","Inconsistent"
"9641","Native","Native Native 1",47,"wrap_up","fp","wrap_up fp",7,0,178,178,"Ambiguous","Inconsistent"
"9643","Native","Native Native 1",44,"wrap_up","fp","wrap_up fp",8,0,423,423,"Unambiguous","Inconsistent"
"9645","Native","Native Native 1",27,"wrap_up","fp","wrap_up fp",7,0,211,211,"Ambiguous","Inconsistent"
"9647","Native","Native Native 1",35,"wrap_up","fp","wrap_up fp",7,1,0,NA,"Ambiguous","Inconsistent"
"9649","Native","Native Native 2",46,"wrap_up","fp","wrap_up fp",7,1,0,NA,"Ambiguous","Inconsistent"
"9651","Native","Native Native 2",25,"wrap_up","fp","wrap_up fp",6,0,154,154,"Unambiguous","Consistent"
"9653","Native","Native Native 2",39,"wrap_up","fp","wrap_up fp",8,0,163,163,"Unambiguous","Inconsistent"
"9655","Native","Native Native 2",38,"wrap_up","fp","wrap_up fp",7,1,0,NA,"Ambiguous","Inconsistent"
"9657","Native","Native Native 2",30,"wrap_up","fp","wrap_up fp",7,0,183,183,"Ambiguous","Inconsistent"
"9659","Native","Native Native 2",27,"wrap_up","fp","wrap_up fp",8,0,197,197,"Unambiguous","Inconsistent"
"9661","Native","Native Native 2",29,"wrap_up","fp","wrap_up fp",6,0,209,209,"Unambiguous","Consistent"
"9663","Native","Native Native 2",33,"wrap_up","fp","wrap_up fp",6,1,0,NA,"Unambiguous","Consistent"
"9665","Native","Native Native 2",32,"wrap_up","fp","wrap_up fp",5,0,128,128,"Ambiguous","Consistent"
"9667","Native","Native Native 2",43,"wrap_up","fp","wrap_up fp",8,0,142,142,"Unambiguous","Inconsistent"
"9669","Native","Native Native 2",45,"wrap_up","fp","wrap_up fp",6,1,0,NA,"Unambiguous","Consistent"
"9671","Native","Native Native 2",48,"wrap_up","fp","wrap_up fp",5,0,195,195,"Ambiguous","Consistent"
"9673","Native","Native Native 2",47,"wrap_up","fp","wrap_up fp",8,0,275,275,"Unambiguous","Inconsistent"
"9675","Native","Native Native 2",31,"wrap_up","fp","wrap_up fp",8,1,0,NA,"Unambiguous","Inconsistent"
"9677","Native","Native Native 2",26,"wrap_up","fp","wrap_up fp",7,0,112,112,"Ambiguous","Inconsistent"
"9679","Native","Native Native 2",42,"wrap_up","fp","wrap_up fp",7,0,97,97,"Ambiguous","Inconsistent"
"9681","Native","Native Native 2",36,"wrap_up","fp","wrap_up fp",5,0,352,352,"Ambiguous","Consistent"
"9683","Native","Native Native 2",35,"wrap_up","fp","wrap_up fp",8,1,0,NA,"Unambiguous","Inconsistent"
"9685","Native","Native Native 2",44,"wrap_up","fp","wrap_up fp",5,0,153,153,"Ambiguous","Consistent"
"9687","Native","Native Native 2",41,"wrap_up","fp","wrap_up fp",6,0,260,260,"Unambiguous","Consistent"
"9689","Native","Native Native 2",37,"wrap_up","fp","wrap_up fp",6,0,793,793,"Unambiguous","Consistent"
