"","group","subject","item","region","measure","sort","condition","skips","rawdata","nozero","ambiguity","gender"
"11522","Native","Native 1",24,"disamb","rp","disamb rp",4,0,188,188,"Unambiguous","Mismatch"
"11524","Native","Native 1",12,"disamb","rp","disamb rp",4,0,192,192,"Unambiguous","Mismatch"
"11526","Native","Native 1",6,"disamb","rp","disamb rp",2,0,2686,2686,"Ambiguous","Mismatch"
"11528","Native","Native 1",7,"disamb","rp","disamb rp",3,0,186,186,"Unambiguous","Match"
"11530","Native","Native 1",14,"disamb","rp","disamb rp",2,0,303,303,"Ambiguous","Mismatch"
"11532","Native","Native 1",21,"disamb","rp","disamb rp",1,0,191,191,"Ambiguous","Match"
"11534","Native","Native 1",19,"disamb","rp","disamb rp",3,1,0,NA,"Unambiguous","Match"
"11536","Native","Native 1",17,"disamb","rp","disamb rp",1,1,0,NA,"Ambiguous","Match"
"11538","Native","Native 1",10,"disamb","rp","disamb rp",2,0,513,513,"Ambiguous","Mismatch"
"11540","Native","Native 1",23,"disamb","rp","disamb rp",3,0,449,449,"Unambiguous","Match"
"11542","Native","Native 1",15,"disamb","rp","disamb rp",3,0,348,348,"Unambiguous","Match"
"11544","Native","Native 1",1,"disamb","rp","disamb rp",1,0,201,201,"Ambiguous","Match"
"11546","Native","Native 1",2,"disamb","rp","disamb rp",2,0,276,276,"Ambiguous","Mismatch"
"11548","Native","Native 1",5,"disamb","rp","disamb rp",1,0,347,347,"Ambiguous","Match"
"11550","Native","Native 1",16,"disamb","rp","disamb rp",4,0,264,264,"Unambiguous","Mismatch"
"11552","Native","Native 1",3,"disamb","rp","disamb rp",3,0,203,203,"Unambiguous","Match"
"11554","Native","Native 1",13,"disamb","rp","disamb rp",1,1,0,NA,"Ambiguous","Match"
"11556","Native","Native 1",11,"disamb","rp","disamb rp",3,0,451,451,"Unambiguous","Match"
"11558","Native","Native 1",9,"disamb","rp","disamb rp",1,0,335,335,"Ambiguous","Match"
"11560","Native","Native 1",8,"disamb","rp","disamb rp",4,0,289,289,"Unambiguous","Mismatch"
"11562","Native","Native 1",4,"disamb","rp","disamb rp",4,0,253,253,"Unambiguous","Mismatch"
"11564","Native","Native 1",20,"disamb","rp","disamb rp",4,0,381,381,"Unambiguous","Mismatch"
"11566","Native","Native 1",18,"disamb","rp","disamb rp",2,0,234,234,"Ambiguous","Mismatch"
"11568","Native","Native 1",22,"disamb","rp","disamb rp",2,0,1341,1341,"Ambiguous","Mismatch"
"11570","Native","Native 2",14,"disamb","rp","disamb rp",3,0,199,199,"Unambiguous","Match"
"11572","Native","Native 2",4,"disamb","rp","disamb rp",1,0,323,323,"Ambiguous","Match"
"11574","Native","Native 2",19,"disamb","rp","disamb rp",4,0,250,250,"Unambiguous","Mismatch"
"11576","Native","Native 2",1,"disamb","rp","disamb rp",2,0,194,194,"Ambiguous","Mismatch"
"11578","Native","Native 2",5,"disamb","rp","disamb rp",2,1,0,NA,"Ambiguous","Mismatch"
"11580","Native","Native 2",15,"disamb","rp","disamb rp",4,0,404,404,"Unambiguous","Mismatch"
"11582","Native","Native 2",7,"disamb","rp","disamb rp",4,0,177,177,"Unambiguous","Mismatch"
"11584","Native","Native 2",18,"disamb","rp","disamb rp",3,0,210,210,"Unambiguous","Match"
"11586","Native","Native 2",6,"disamb","rp","disamb rp",3,0,369,369,"Unambiguous","Match"
"11588","Native","Native 2",22,"disamb","rp","disamb rp",3,0,302,302,"Unambiguous","Match"
"11590","Native","Native 2",10,"disamb","rp","disamb rp",3,0,552,552,"Unambiguous","Match"
"11592","Native","Native 2",8,"disamb","rp","disamb rp",1,0,624,624,"Ambiguous","Match"
"11594","Native","Native 2",24,"disamb","rp","disamb rp",1,0,1433,1433,"Ambiguous","Match"
"11596","Native","Native 2",17,"disamb","rp","disamb rp",2,1,0,NA,"Ambiguous","Mismatch"
"11598","Native","Native 2",2,"disamb","rp","disamb rp",3,1,0,NA,"Unambiguous","Match"
"11600","Native","Native 2",11,"disamb","rp","disamb rp",4,1,0,NA,"Unambiguous","Mismatch"
"11602","Native","Native 2",3,"disamb","rp","disamb rp",4,1,0,NA,"Unambiguous","Mismatch"
"11604","Native","Native 2",21,"disamb","rp","disamb rp",2,1,0,NA,"Ambiguous","Mismatch"
"11606","Native","Native 2",20,"disamb","rp","disamb rp",1,0,244,244,"Ambiguous","Match"
"11608","Native","Native 2",16,"disamb","rp","disamb rp",1,0,142,142,"Ambiguous","Match"
"11610","Native","Native 2",13,"disamb","rp","disamb rp",2,0,321,321,"Ambiguous","Mismatch"
"11612","Native","Native 2",9,"disamb","rp","disamb rp",2,0,253,253,"Ambiguous","Mismatch"
"11614","Native","Native 2",12,"disamb","rp","disamb rp",1,0,269,269,"Ambiguous","Match"
"11616","Native","Native 2",23,"disamb","rp","disamb rp",4,0,391,391,"Unambiguous","Mismatch"
"11617","Native","Native 3",11,"disamb","rp","disamb rp",1,0,631,631,"Ambiguous","Match"
"11619","Native","Native 3",21,"disamb","rp","disamb rp",3,0,145,145,"Unambiguous","Match"
"11621","Native","Native 3",2,"disamb","rp","disamb rp",4,0,269,269,"Unambiguous","Mismatch"
"11623","Native","Native 3",20,"disamb","rp","disamb rp",2,0,1924,1924,"Ambiguous","Mismatch"
"11625","Native","Native 3",9,"disamb","rp","disamb rp",3,0,347,347,"Unambiguous","Match"
"11627","Native","Native 3",4,"disamb","rp","disamb rp",2,0,983,983,"Ambiguous","Mismatch"
"11629","Native","Native 3",3,"disamb","rp","disamb rp",1,0,964,964,"Ambiguous","Match"
"11631","Native","Native 3",1,"disamb","rp","disamb rp",3,0,477,477,"Unambiguous","Match"
"11633","Native","Native 3",13,"disamb","rp","disamb rp",3,0,1264,1264,"Unambiguous","Match"
