"","group","subject","item","region","measure","sort","condition","skips","rawdata","nozero","ambiguity","gender"
"24962","Native","Native Native 1",24,"spillover1","tt","spillover1 tt",4,0,364,364,"Unambiguous","Mismatch"
"24964","Native","Native Native 1",12,"spillover1","tt","spillover1 tt",4,0,1577,1577,"Unambiguous","Mismatch"
"24966","Native","Native Native 1",6,"spillover1","tt","spillover1 tt",2,0,367,367,"Ambiguous","Mismatch"
"24968","Native","Native Native 1",7,"spillover1","tt","spillover1 tt",3,0,418,418,"Unambiguous","Match"
"24970","Native","Native Native 1",14,"spillover1","tt","spillover1 tt",2,0,348,348,"Ambiguous","Mismatch"
"24972","Native","Native Native 1",21,"spillover1","tt","spillover1 tt",1,0,671,671,"Ambiguous","Match"
"24974","Native","Native Native 1",19,"spillover1","tt","spillover1 tt",3,0,206,206,"Unambiguous","Match"
"24976","Native","Native Native 1",17,"spillover1","tt","spillover1 tt",1,0,851,851,"Ambiguous","Match"
"24978","Native","Native Native 1",10,"spillover1","tt","spillover1 tt",2,0,515,515,"Ambiguous","Mismatch"
"24980","Native","Native Native 1",23,"spillover1","tt","spillover1 tt",3,0,809,809,"Unambiguous","Match"
"24982","Native","Native Native 1",15,"spillover1","tt","spillover1 tt",3,0,195,195,"Unambiguous","Match"
"24984","Native","Native Native 1",1,"spillover1","tt","spillover1 tt",1,0,179,179,"Ambiguous","Match"
"24986","Native","Native Native 1",2,"spillover1","tt","spillover1 tt",2,0,209,209,"Ambiguous","Mismatch"
"24988","Native","Native Native 1",5,"spillover1","tt","spillover1 tt",1,0,408,408,"Ambiguous","Match"
"24990","Native","Native Native 1",16,"spillover1","tt","spillover1 tt",4,0,233,233,"Unambiguous","Mismatch"
"24992","Native","Native Native 1",3,"spillover1","tt","spillover1 tt",3,0,1383,1383,"Unambiguous","Match"
"24994","Native","Native Native 1",13,"spillover1","tt","spillover1 tt",1,0,819,819,"Ambiguous","Match"
"24996","Native","Native Native 1",11,"spillover1","tt","spillover1 tt",3,0,220,220,"Unambiguous","Match"
