"","group","subject","item","region","measure","sort","condition","skips","rawdata","nozero","ambiguity","gender"
"5762","Native","Native 1",24,"spillover2","fp","spillover2 fp",4,0,323,323,"Unambiguous","Mismatch"
"5764","Native","Native 1",12,"spillover2","fp","spillover2 fp",4,0,879,879,"Unambiguous","Mismatch"
"5766","Native","Native 1",6,"spillover2","fp","spillover2 fp",2,0,169,169,"Ambiguous","Mismatch"
"5768","Native","Native 1",7,"spillover2","fp","spillover2 fp",3,0,195,195,"Unambiguous","Match"
"5770","Native","Native 1",14,"spillover2","fp","spillover2 fp",2,0,644,644,"Ambiguous","Mismatch"
"5772","Native","Native 1",21,"spillover2","fp","spillover2 fp",1,0,681,681,"Ambiguous","Match"
"5774","Native","Native 1",19,"spillover2","fp","spillover2 fp",3,0,511,511,"Unambiguous","Match"
"5776","Native","Native 1",17,"spillover2","fp","spillover2 fp",1,0,648,648,"Ambiguous","Match"
"5778","Native","Native 1",10,"spillover2","fp","spillover2 fp",2,0,126,126,"Ambiguous","Mismatch"
"5780","Native","Native 1",23,"spillover2","fp","spillover2 fp",3,0,359,359,"Unambiguous","Match"
"5782","Native","Native 1",15,"spillover2","fp","spillover2 fp",3,0,160,160,"Unambiguous","Match"
"5784","Native","Native 1",1,"spillover2","fp","spillover2 fp",1,0,593,593,"Ambiguous","Match"
"5786","Native","Native 1",2,"spillover2","fp","spillover2 fp",2,0,150,150,"Ambiguous","Mismatch"
"5788","Native","Native 1",5,"spillover2","fp","spillover2 fp",1,0,515,515,"Ambiguous","Match"
"5790","Native","Native 1",16,"spillover2","fp","spillover2 fp",4,0,169,169,"Unambiguous","Mismatch"
"5792","Native","Native 1",3,"spillover2","fp","spillover2 fp",3,0,760,760,"Unambiguous","Match"
"5794","Native","Native 1",13,"spillover2","fp","spillover2 fp",1,0,178,178,"Ambiguous","Match"
"5796","Native","Native 1",11,"spillover2","fp","spillover2 fp",3,0,695,695,"Unambiguous","Match"
"5798","Native","Native 1",9,"spillover2","fp","spillover2 fp",1,0,1228,1228,"Ambiguous","Match"
"5800","Native","Native 1",8,"spillover2","fp","spillover2 fp",4,0,1052,1052,"Unambiguous","Mismatch"
"5802","Native","Native 1",4,"spillover2","fp","spillover2 fp",4,0,642,642,"Unambiguous","Mismatch"
"5804","Native","Native 1",20,"spillover2","fp","spillover2 fp",4,0,187,187,"Unambiguous","Mismatch"
"5806","Native","Native 1",18,"spillover2","fp","spillover2 fp",2,0,467,467,"Ambiguous","Mismatch"
"5808","Native","Native 1",22,"spillover2","fp","spillover2 fp",2,0,567,567,"Ambiguous","Mismatch"
"5810","Native","Native 2",14,"spillover2","fp","spillover2 fp",3,0,301,301,"Unambiguous","Match"
"5812","Native","Native 2",4,"spillover2","fp","spillover2 fp",1,0,431,431,"Ambiguous","Match"
"5814","Native","Native 2",19,"spillover2","fp","spillover2 fp",4,0,395,395,"Unambiguous","Mismatch"
"5816","Native","Native 2",1,"spillover2","fp","spillover2 fp",2,0,421,421,"Ambiguous","Mismatch"
"5818","Native","Native 2",5,"spillover2","fp","spillover2 fp",2,0,359,359,"Ambiguous","Mismatch"
"5820","Native","Native 2",15,"spillover2","fp","spillover2 fp",4,0,122,122,"Unambiguous","Mismatch"
"5822","Native","Native 2",7,"spillover2","fp","spillover2 fp",4,0,251,251,"Unambiguous","Mismatch"
"5824","Native","Native 2",18,"spillover2","fp","spillover2 fp",3,0,273,273,"Unambiguous","Match"
"5826","Native","Native 2",6,"spillover2","fp","spillover2 fp",3,0,439,439,"Unambiguous","Match"
"5828","Native","Native 2",22,"spillover2","fp","spillover2 fp",3,0,404,404,"Unambiguous","Match"
"5830","Native","Native 2",10,"spillover2","fp","spillover2 fp",3,0,311,311,"Unambiguous","Match"
"5832","Native","Native 2",8,"spillover2","fp","spillover2 fp",1,0,201,201,"Ambiguous","Match"
"5834","Native","Native 2",24,"spillover2","fp","spillover2 fp",1,0,125,125,"Ambiguous","Match"
"5836","Native","Native 2",17,"spillover2","fp","spillover2 fp",2,0,229,229,"Ambiguous","Mismatch"
"5838","Native","Native 2",2,"spillover2","fp","spillover2 fp",3,0,301,301,"Unambiguous","Match"
"5840","Native","Native 2",11,"spillover2","fp","spillover2 fp",4,0,282,282,"Unambiguous","Mismatch"
"5842","Native","Native 2",3,"spillover2","fp","spillover2 fp",4,0,328,328,"Unambiguous","Mismatch"
"5844","Native","Native 2",21,"spillover2","fp","spillover2 fp",2,0,124,124,"Ambiguous","Mismatch"
"5846","Native","Native 2",20,"spillover2","fp","spillover2 fp",1,0,197,197,"Ambiguous","Match"
"5848","Native","Native 2",16,"spillover2","fp","spillover2 fp",1,1,0,NA,"Ambiguous","Match"
"5850","Native","Native 2",13,"spillover2","fp","spillover2 fp",2,0,198,198,"Ambiguous","Mismatch"
"5852","Native","Native 2",9,"spillover2","fp","spillover2 fp",2,0,188,188,"Ambiguous","Mismatch"
"5854","Native","Native 2",12,"spillover2","fp","spillover2 fp",1,0,304,304,"Ambiguous","Match"
"5856","Native","Native 2",23,"spillover2","fp","spillover2 fp",4,0,241,241,"Unambiguous","Mismatch"
"5857","Native","Native 3",11,"spillover2","fp","spillover2 fp",1,0,446,446,"Ambiguous","Match"
"5859","Native","Native 3",21,"spillover2","fp","spillover2 fp",3,0,802,802,"Unambiguous","Match"
"5861","Native","Native 3",2,"spillover2","fp","spillover2 fp",4,0,611,611,"Unambiguous","Mismatch"
"5863","Native","Native 3",20,"spillover2","fp","spillover2 fp",2,0,306,306,"Ambiguous","Mismatch"
"5865","Native","Native 3",9,"spillover2","fp","spillover2 fp",3,0,869,869,"Unambiguous","Match"
"5867","Native","Native 3",4,"spillover2","fp","spillover2 fp",2,0,110,110,"Ambiguous","Mismatch"
"5869","Native","Native 3",3,"spillover2","fp","spillover2 fp",1,0,583,583,"Ambiguous","Match"
"5871","Native","Native 3",1,"spillover2","fp","spillover2 fp",3,0,525,525,"Unambiguous","Match"
"5873","Native","Native 3",13,"spillover2","fp","spillover2 fp",3,0,535,535,"Unambiguous","Match"
"5875","Native","Native 3",18,"spillover2","fp","spillover2 fp",4,0,376,376,"Unambiguous","Mismatch"
"5877","Native","Native 3",7,"spillover2","fp","spillover2 fp",1,0,297,297,"Ambiguous","Match"
"5879","Native","Native 3",5,"spillover2","fp","spillover2 fp",3,0,829,829,"Unambiguous","Match"
